track_id	album_title	album_tracks	artist_latitude	artist_longitude	artist_name	duration	favorites	genre_top	genres	genres_all	interest	listens	title
11870	Wildahead Portibeast	10			Wildahead Portibeast	131	0	Hip-Hop	[21]	[21]	733	218	What The Truth Should Be
11871	Wildahead Portibeast	10			Wildahead Portibeast	185	0	Hip-Hop	[21]	[21]	753	267	It's True
11872	Wildahead Portibeast	10			Wildahead Portibeast	183	0	Hip-Hop	[21]	[21]	744	223	Pedestal
11873	Wildahead Portibeast	10			Wildahead Portibeast	213	3	Hip-Hop	[21]	[21]	936	245	Timetomoveover (prod. 6th Sense)
11874	Wildahead Portibeast	10			Wildahead Portibeast	162	0	Hip-Hop	[21]	[21]	861	192	Stranger feat. 6th Sense
11875	Wildahead Portibeast	10			Wildahead Portibeast	147	1	Hip-Hop	[21]	[21]	816	341	Machine Gun feat. 6th Sense
11876	Wildahead Portibeast	10			Wildahead Portibeast	148	0	Hip-Hop	[21]	[21]	676	240	Damn
11877	Wildahead Portibeast	10			Wildahead Portibeast	256	0	Hip-Hop	[21]	[21]	658	214	Is It All As It Seems
11878	Wildahead Portibeast	10			Wildahead Portibeast	338	0	Hip-Hop	[21]	[21]	807	172	How Can I Carry On (At This Point)
11879	Wildahead Portibeast	10			Wildahead Portibeast	185	0	Hip-Hop	[21]	[21]	923	326	All For Nothing
11880	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	163	1	Hip-Hop	[21]	[21]	1009	445	4AM
11881	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	183	0	Hip-Hop	[21]	[21]	971	305	Bite The Curb
11882	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	141	0	Hip-Hop	[21]	[21]	1097	301	iBeast Playlist (Madlib)
11883	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	194	1	Hip-Hop	[21]	[21]	3278	454	Something New
11884	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	164	0	Hip-Hop	[21]	[21]	2145	209	Big Old Will Pt 2
11885	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	162	1	Hip-Hop	[21]	[21]	1968	323	"07 The Cuchifritos Groove feat. 6th Sense &amp; Jelani.mp3"
11886	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	238	1	Hip-Hop	[21]	[21]	2197	268	Big Old Will
11887	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	51	0	Hip-Hop	[21]	[21]	2799	414	La Da Ha Ha (Dilla)
11888	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	210	0	Hip-Hop	[21]	[21]	1947	494	Many Levels
11889	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	177	0	Hip-Hop	[21]	[21]	4220	720	Let's Make Films
11890	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	102	0	Hip-Hop	[21]	[21]	3361	557	Ghetto (OD Poppiyondo Freestyle Butter)
11891	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	128	0	Hip-Hop	[21]	[21]	2442	230	Eraser feat. No Age
11892	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	86	1	Hip-Hop	[21]	[21]	3653	551	Yo
11893	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	131	0	Hip-Hop	[21]	[21]	1846	906	True Fighter
11894	"Mick Boogie &amp; Terry Urban Presents... Extra Levels"	20			Wildabeast	65	0	Hip-Hop	[21]	[21]	1379	553	Good Money
